file,window,cadence_reb,config,strat_roi,spy_roi,XLK_roi,vs_XLK,QQQ_roi,vs_QQQ,SMH_roi,vs_SMH,EWU_roi,vs_EWU,INIT_roi,vs_INIT,rand_pctile,rand_median_roi
psperm_0393_tech_gpt-51_2x_20-10_202410_20260706_143709_420427_w0.json,2024-10-01,1,20-10,38.3,18.985742153392327,30.04078795826084,8.259212041739158,26.021915709841913,12.278084290158084,40.30851578771295,-2.008515787712952,44.51500643825954,-6.215006438259543,33.059009805739606,5.240990194260391,51.4,37.30632161524454
psperm_0394_tech_gpt-51_2x_20-5_202410_20260706_155857_897000_w0.json,2024-10-01,1,20-5,34.73,18.985742153392327,30.04078795826084,4.689212041739157,26.021915709841913,8.708084290158084,40.30851578771295,-5.578515787712952,44.51500643825954,-9.785006438259543,32.98454636350709,1.745453636492904,48.199999999999996,35.53462033523222
psperm_0395_tech_gpt-51_2x_10-5_202410_20260706_164903_731983_w0.json,2024-10-01,1,10-5,36.38,18.985742153392327,30.04078795826084,6.339212041739163,26.021915709841913,10.35808429015809,40.30851578771295,-3.9285157877129464,44.51500643825954,-8.135006438259538,39.111039549181555,-2.7310395491815527,51.5,35.53462033523222
psperm_0400_tech_gpt-51_4x_20-10_202410_20260706_123330_962342_w0.json,2024-10-01,3,20-10,33.24,18.985742153392327,30.04078795826084,3.1992120417391625,26.021915709841913,7.218084290158089,40.30851578771295,-7.068515787712947,44.51500643825954,-11.275006438259538,32.14876490763183,1.0912350923681728,38.800000000000004,37.30632161524454
psperm_0401_tech_gpt-51_4x_20-5_202410_20260706_141310_992687_w0.json,2024-10-01,3,20-5,30.25,18.98572079817078,30.04078795826084,0.20921204173916053,26.021915709841913,4.228084290158087,40.30851578771295,-10.058515787712949,44.51500643825954,-14.26500643825954,32.108494708008266,-1.8584947080082657,37.5,35.53462033523222
psperm_0402_tech_gpt-51_4x_10-5_202410_20260706_165128_866825_w0.json,2024-10-01,3,10-5,29.42,18.985742153392327,30.04078795826084,-0.6207879582608378,26.021915709841913,3.3980842901580885,40.30851578771295,-10.888515787712947,44.51500643825954,-15.095006438259539,40.168111519057646,-10.748111519057645,35.199999999999996,35.53462033523222
psperm_0407_tech_gpt-51_6x_20-10_202410_20260707_115128_311945_w0.json,2024-10-01,5,20-10,38.22,18.985742153392327,30.04078795826084,8.17921204173916,26.021915709841913,12.198084290158086,40.30851578771295,-2.08851578771295,44.51500643825954,-6.295006438259541,34.10136789975954,4.118632100240461,51.300000000000004,37.30632161524454
psperm_0408_tech_gpt-51_6x_20-5_202410_20260706_192458_250970_w0.json,2024-10-01,5,20-5,42.06,18.98572079817078,30.04078795826084,12.019212041739163,26.021915709841913,16.03808429015809,40.30851578771295,1.7514842122870533,44.51500643825954,-2.455006438259538,21.647331766689064,20.41266823331094,63.6,35.53462033523222
psperm_0409_tech_gpt-51_6x_10-5_202410_20260706_192908_327771_w0.json,2024-10-01,5,10-5,28.62,18.985763508621535,30.04078795826084,-1.4207879582608385,26.021915709841913,2.598084290158088,40.30851578771295,-11.688515787712948,44.51500643825954,-15.89500643825954,48.385028074489554,-19.765028074489553,33.7,35.53462033523222
psperm_0414_tech_gpt-51_12x_20-10_202410_20260707_154654_118643_w0.json,2024-10-01,11,20-10,31.85,18.985763508621535,30.04078795826084,1.809212041739162,26.021915709841913,5.828084290158088,40.30851578771295,-8.458515787712948,44.51500643825954,-12.665006438259539,33.12473947745502,-1.2747394774550216,34.0,37.30632161524454
psperm_0477_tech_gpt-51_2x_20-10_202411_20260706_143844_692776_w0.json,2024-11-01,1,20-10,39.86,20.893847520065844,35.13905370156358,4.7209462984364166,29.755031935010102,10.104968064989897,48.98017050907364,-9.120170509073638,51.86358876466504,-12.00358876466504,49.748045825493506,-9.888045825493506,33.4,48.135016931232286
psperm_0478_tech_gpt-51_2x_20-5_202411_20260706_160006_265253_w0.json,2024-11-01,1,20-5,47.58,20.89384378598904,35.13905370156358,12.440946298436415,29.755031935010102,17.824968064989896,48.98017050907364,-1.4001705090736394,51.86358876466504,-4.283588764665041,37.38911038022698,10.190889619773017,55.900000000000006,44.34485826187962
psperm_0479_tech_gpt-51_2x_10-5_202411_20260706_165241_716464_w0.json,2024-11-01,1,10-5,51.31,20.893847520065844,35.13905370156358,16.17094629843642,29.755031935010102,21.5549680649899,48.98017050907364,2.3298294909263646,51.86358876466504,-0.5535887646650366,50.402004255926215,0.9079957440737871,63.1,44.34485826187962
psperm_0484_tech_gpt-51_4x_20-10_202411_20260706_123734_350673_w0.json,2024-11-01,3,20-10,37.61,20.893825914331842,35.13905370156358,2.4709462984364166,29.755031935010102,7.854968064989897,48.98017050907364,-11.370170509073638,51.86358876466504,-14.25358876466504,39.69548792874903,-2.085487928749032,27.800000000000004,48.135016931232286
psperm_0485_tech_gpt-51_4x_20-5_202411_20260706_141606_902034_w0.json,2024-11-01,3,20-5,26.87,20.893825914331842,35.13905370156358,-8.269053701563582,29.755031935010102,-2.885031935010101,48.98017050907364,-22.110170509073637,51.86358876466504,-24.993588764665038,35.52366694414937,-8.653666944149368,18.4,44.34485826187962
psperm_0486_tech_gpt-51_4x_10-5_202411_20260706_165452_370833_w0.json,2024-11-01,3,10-5,36.76,20.893825914331842,35.13905370156358,1.6209462984364151,29.755031935010102,7.004968064989896,48.98017050907364,-12.22017050907364,51.86358876466504,-15.10358876466504,38.50830303542878,-1.7483030354287834,36.8,44.34485826187962
psperm_0491_tech_gpt-51_6x_20-10_202411_20260707_115059_284687_w1.json,2024-11-01,5,20-10,48.2,20.893825914331842,35.13905370156358,13.06094629843642,29.755031935010102,18.4449680649899,48.98017050907364,-0.7801705090736348,51.86358876466504,-3.663588764665036,46.099734077950785,2.1002659220492177,50.1,48.135016931232286
psperm_0492_tech_gpt-51_6x_20-5_202411_20260706_194600_481655_w0.json,2024-11-01,5,20-5,40.59,20.893847520065844,35.13905370156358,5.4509462984364205,29.755031935010102,10.834968064989901,48.98017050907364,-8.390170509073634,51.86358876466504,-11.273588764665035,38.96402636157191,1.6259736384280927,42.9,44.34485826187962
psperm_0493_tech_gpt-51_6x_10-5_202411_20260707_111502_818236_w0.json,2024-11-01,5,10-5,36.54,20.893825914331842,35.13905370156358,1.4009462984364163,29.755031935010102,6.784968064989897,48.98017050907364,-12.440170509073639,51.86358876466504,-15.32358876466504,43.46532866933606,-6.925328669336061,36.1,44.34485826187962
psperm_0498_tech_gpt-51_12x_20-10_202411_20260707_154632_567518_w1.json,2024-11-01,11,20-10,46.2,20.893825914331842,35.13905370156358,11.06094629843642,29.755031935010102,16.4449680649899,48.98017050907364,-2.780170509073635,51.86358876466504,-5.663588764665036,39.04200936068972,7.157990639310285,47.099999999999994,48.135016931232286
psperm_0561_tech_gpt-51_2x_20-10_202412_20260706_144030_516530_w0.json,2024-12-01,1,20-10,30.8,14.066631590764311,22.13132845206738,8.668671547932622,20.41778823519287,10.382211764807131,43.02836522239644,-12.228365222396437,34.52564626166104,-3.725646261661037,36.844228168660834,-6.044228168660833,39.6,34.285135841707856
psperm_0562_tech_gpt-51_2x_20-5_202412_20260706_160119_274680_w0.json,2024-12-01,1,20-5,34.82,14.066631590764311,22.13132845206738,12.688671547932621,20.41778823519287,14.40221176480713,43.02836522239644,-8.208365222396438,34.52564626166104,0.2943537383389625,34.31625456666063,0.5037454333393683,51.7,33.911660725600484
psperm_0563_tech_gpt-51_2x_10-5_202412_20260706_165607_708279_w0.json,2024-12-01,1,10-5,35.63,14.066633968977094,22.13132845206738,13.498671547932624,20.41778823519287,15.212211764807133,43.02836522239644,-7.398365222396436,34.52564626166104,1.1043537383389648,46.11429322743885,-10.484293227438847,53.5,33.911660725600484
psperm_0568_tech_gpt-51_4x_20-10_202412_20260706_124227_207373_w0.json,2024-12-01,3,20-10,30.33,14.066631590764311,22.13132845206738,8.19867154793262,20.41778823519287,9.912211764807129,43.02836522239644,-12.69836522239644,34.52564626166104,-4.1956462616610395,32.2581447112382,-1.928144711238204,37.3,34.285135841707856
psperm_0569_tech_gpt-51_4x_20-5_202412_20260706_141857_287481_w0.json,2024-12-01,3,20-5,30.96,14.066650875745212,22.13132845206738,8.828671547932622,20.41778823519287,10.542211764807131,43.02836522239644,-12.068365222396437,34.52564626166104,-3.565646261661037,48.074105410675486,-17.114105410675485,44.7,33.911660725600484
psperm_0570_tech_gpt-51_4x_10-5_202412_20260706_165830_502490_w0.json,2024-12-01,3,10-5,23.86,14.066633968977094,22.13132845206738,1.7286715479326205,20.41778823519287,3.44221176480713,43.02836522239644,-19.16836522239644,34.52564626166104,-10.665646261661038,45.25678005891555,-21.396780058915553,30.5,33.911660725600484
psperm_0575_tech_gpt-51_6x_20-10_202412_20260707_115533_675741_w1.json,2024-12-01,5,20-10,33.45,14.066650875745212,22.13132845206738,11.318671547932624,20.41778823519287,13.032211764807133,43.02836522239644,-9.578365222396435,34.52564626166104,-1.075646261661035,36.21408102026649,-2.764081020266488,47.9,34.285135841707856
psperm_0576_tech_gpt-51_6x_20-5_202412_20260707_111559_666479_w1.json,2024-12-01,5,20-5,32.22,14.066650875745212,22.13132845206738,10.08867154793262,20.41778823519287,11.80221176480713,43.02836522239644,-10.80836522239644,34.52564626166104,-2.305646261661039,19.229292597673165,12.990707402326834,47.699999999999996,33.911660725600484
psperm_0577_tech_gpt-51_6x_10-5_202412_20260707_111739_455095_w0.json,2024-12-01,5,10-5,34.03,14.066633968977094,22.13132845206738,11.898671547932622,20.41778823519287,13.612211764807132,43.02836522239644,-8.998365222396437,34.52564626166104,-0.49564626166103665,46.357411723500434,-12.327411723500433,50.1,33.911660725600484
psperm_0582_tech_gpt-51_12x_20-10_202412_20260707_155939_635040_w1.json,2024-12-01,11,20-10,38.52,14.066633968977094,22.13132845206738,16.388671547932624,20.41778823519287,18.102211764807134,43.02836522239644,-4.508365222396435,34.52564626166104,3.9943537383389653,33.00110601439596,5.518893985604045,60.099999999999994,34.285135841707856
psperm_0645_tech_gpt-51_2x_20-10_202501_20260706_144143_514545_w0.json,2025-01-01,1,20-10,32.7,18.009010098303847,24.901377006298485,7.7986229937015175,21.009251512367833,11.69074848763217,47.57571441237847,-14.875714412378464,41.054844013773284,-8.354844013773281,43.047969457942145,-10.347969457942142,31.6,39.598040482717366
psperm_0646_tech_gpt-51_2x_20-5_202501_20260706_160235_831633_w0.json,2025-01-01,1,20-5,33.33,18.009010098303847,24.901377006298485,8.428622993701513,21.009251512367833,12.320748487632166,47.57571441237847,-14.245714412378469,41.054844013773284,-7.724844013773286,40.18633099086844,-6.856330990868443,41.0,38.92514333352527
psperm_0647_tech_gpt-51_2x_10-5_202501_20260706_170003_360505_w0.json,2025-01-01,1,10-5,25.94,18.008989567842427,24.901377006298485,1.038622993701516,21.009251512367833,4.930748487632169,47.57571441237847,-21.635714412378466,41.054844013773284,-15.114844013773283,30.188339505703595,-4.248339505703594,29.2,38.92514333352527
psperm_0652_tech_gpt-51_4x_20-10_202501_20260706_124842_182960_w0.json,2025-01-01,3,20-10,41.65,18.009010098303847,24.901377006298485,16.748622993701513,21.009251512367833,20.640748487632166,47.57571441237847,-5.925714412378468,41.054844013773284,0.5951559862267146,47.48537436981533,-5.835374369815334,55.800000000000004,39.598040482717366
