file,window,run,arm,roi,tokens,n_holdings
arm_gpt-51_20to10_202412_run2.json,202412,2,A3_sequential_nocut,43.64726841172584,,
arm_gpt-51_20to10_202412_run2.json,202412,2,A4_reports_scrambled,40.838974353830345,,
arm_gpt-51_20to10_202412_run2.json,202412,2,A5_single_matched,40.597160351224154,,
arm_gpt-51_20to10_202412_run2.json,202412,2,A6_hold_all,34.30746852666822,,
arm_gpt-51_20to10_202412_run3.json,202412,3,A1_single_pool,35.223533023709166,,
arm_gpt-51_20to10_202412_run3.json,202412,3,A2_sequential_cut,35.11250058686106,,
arm_gpt-51_20to10_202412_run3.json,202412,3,A3_sequential_nocut,34.58919500286966,,
arm_gpt-51_20to10_202412_run3.json,202412,3,A4_reports_scrambled,42.40880231305795,,
arm_gpt-51_20to10_202412_run3.json,202412,3,A5_single_matched,36.9985293339623,,
arm_gpt-51_20to10_202412_run3.json,202412,3,A6_hold_all,32.6232783664956,,
arm_gpt-51_20to10_202501.json,202501,0,A1_single_pool,42.619793001997714,,
arm_gpt-51_20to10_202501.json,202501,0,A2_sequential_cut,32.68976996661253,,
arm_gpt-51_20to10_202501.json,202501,0,A3_sequential_nocut,40.7278589310357,,
arm_gpt-51_20to10_202501.json,202501,0,A4_reports_scrambled,27.75073906691312,,
arm_gpt-51_20to10_202501.json,202501,0,A5_single_matched,38.542682305089535,,
arm_gpt-51_20to10_202501.json,202501,0,A6_hold_all,34.39173323292239,,
arm_gpt-51_20to10_202501_run1.json,202501,1,A1_single_pool,36.23687948697783,,
arm_gpt-51_20to10_202501_run1.json,202501,1,A2_sequential_cut,38.06593148328869,,
arm_gpt-51_20to10_202501_run1.json,202501,1,A3_sequential_nocut,38.732115244874294,,
arm_gpt-51_20to10_202501_run1.json,202501,1,A4_reports_scrambled,35.302860812710534,,
arm_gpt-51_20to10_202501_run1.json,202501,1,A5_single_matched,38.932515980291996,,
arm_gpt-51_20to10_202501_run1.json,202501,1,A6_hold_all,46.71667334506134,,
arm_gpt-51_20to10_202501_run2.json,202501,2,A1_single_pool,36.43231740585843,,
arm_gpt-51_20to10_202501_run2.json,202501,2,A2_sequential_cut,42.741503208458994,,
arm_gpt-51_20to10_202501_run2.json,202501,2,A3_sequential_nocut,36.97683631014943,,
arm_gpt-51_20to10_202501_run2.json,202501,2,A4_reports_scrambled,26.075102948179957,,
