file,parsed,has_meta,has_roi,has_recs,model,temp,window,period,cfg,roi,n_holdings,model_raw,err
perm_0224_gpt-4o-mini_T0.3_12mo_202501_20260616_132626.json,True,True,True,True,GPT-4o-mini,0.3,202501,12,30→5,24.084034623567714,5.0,gpt-4o-mini,
perm_0224_gpt-4o-mini_T0.3_12mo_202501_20260616_132710.json,True,True,True,True,GPT-4o-mini,0.3,202501,12,30→5,27.378017819327248,5.0,gpt-4o-mini,
perm_0224_gpt-5_T0.3_12mo_202411_20260222_194355.json,True,False,False,False,GPT-5?,0.3,202411,12,,,,gpt-5,
perm_0224_gpt-5_T0.3_12mo_202411_20260222_201026.json,True,False,False,False,GPT-5?,0.3,202411,12,,,,gpt-5,
perm_0225_gpt-5_T0.3_12mo_202411_20260222_194356.json,True,False,False,False,GPT-5?,0.3,202411,12,,,,gpt-5,
perm_0225_gpt-5_T0.3_12mo_202411_20260222_201027.json,True,False,False,False,GPT-5?,0.3,202411,12,,,,gpt-5,
perm_0226_gpt-51_T0.3_12mo_202411_20260222_194438.json,True,True,True,True,GPT-5.1,0.3,202411,12,20→5,54.4301313126057,5.0,gpt-5.1,
perm_0226_gpt-51_T0.3_12mo_202411_20260223_002336.json,True,True,True,True,GPT-5.1,0.3,202411,12,20→5,58.89881412402176,5.0,gpt-5.1,
perm_0226_gpt-51_T0.3_12mo_202411_20260223_002344.json,True,True,True,True,GPT-5.1,0.3,202411,12,20→5,49.50132829234866,5.0,gpt-5.1,
perm_0227_gpt-51_T0.3_12mo_202411_20260222_194443.json,True,True,True,True,GPT-5.1,0.3,202411,12,10→5,48.20469531174732,5.0,gpt-5.1,
perm_0227_gpt-51_T0.3_12mo_202411_20260223_002345.json,True,True,True,True,GPT-5.1,0.3,202411,12,10→5,48.57911951793149,5.0,gpt-5.1,
perm_0227_gpt-51_T0.3_12mo_202411_20260223_002405.json,True,True,True,True,GPT-5.1,0.3,202411,12,10→5,51.60614659761792,5.0,gpt-5.1,
perm_0228_gpt-51_T0.3_12mo_202411_20260222_194451.json,True,True,True,True,GPT-5.1,0.3,202411,12,5→3,32.09523382316162,3.0,gpt-5.1,
perm_0228_gpt-51_T0.3_12mo_202411_20260223_002347.json,True,True,True,True,GPT-5.1,0.3,202411,12,5→3,45.77966584409618,3.0,gpt-5.1,
perm_0228_gpt-51_T0.3_12mo_202411_20260223_002350.json,True,True,True,True,GPT-5.1,0.3,202411,12,5→3,44.07118601664408,3.0,gpt-5.1,
perm_0229_gpt-4o_T0.3_12mo_202412_20260222_194441.json,True,True,True,True,GPT-4o,0.3,202412,12,20→5,45.68856745041652,5.0,gpt-4o,
perm_0229_gpt-4o_T0.3_12mo_202412_20260222_223818.json,True,True,True,True,GPT-4o,0.3,202412,12,20→5,45.81294186948791,5.0,gpt-4o,
perm_0229_gpt-4o_T0.3_12mo_202412_20260222_223949.json,True,True,True,True,GPT-4o,0.3,202412,12,20→5,40.596848906592825,5.0,gpt-4o,
perm_0230_gpt-4o-mini_T0.3_12mo_202501_20260618_043319.json,True,True,True,True,GPT-4o-mini,0.3,202501,12,unfiltered,32.031780612118425,7.0,gpt-4o-mini,
perm_0230_gpt-4o_T0.3_12mo_202412_20260222_194451.json,True,True,True,True,GPT-4o,0.3,202412,12,10→5,38.1506282621498,5.0,gpt-4o,
perm_0230_gpt-4o_T0.3_12mo_202412_20260222_223829.json,True,True,True,True,GPT-4o,0.3,202412,12,10→5,41.77688907174832,5.0,gpt-4o,
perm_0230_gpt-4o_T0.3_12mo_202412_20260222_223911.json,True,True,True,True,GPT-4o,0.3,202412,12,10→5,38.786212288390544,5.0,gpt-4o,
perm_0231_gpt-4o_T0.3_12mo_202412_20260222_194453.json,True,True,True,True,GPT-4o,0.3,202412,12,5→3,48.462082591672164,3.0,gpt-4o,
perm_0231_gpt-4o_T0.3_12mo_202412_20260222_224356.json,True,False,False,False,GPT-4o,0.3,202412,12,,,,gpt-4o,
perm_0232_gpt-4o-mini_T0.3_12mo_202412_20260222_194525.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,20→5,39.59013318263627,5.0,gpt-4o-mini,
perm_0232_gpt-4o-mini_T0.3_12mo_202412_20260222_223905.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,20→5,37.94751907013189,5.0,gpt-4o-mini,
perm_0232_gpt-4o-mini_T0.3_12mo_202412_20260222_223939.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,20→5,35.59766183326612,5.0,gpt-4o-mini,
perm_0233_gpt-4o-mini_T0.3_12mo_202412_20260222_194525.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,10→5,40.59684950812043,5.0,gpt-4o-mini,
perm_0233_gpt-4o-mini_T0.3_12mo_202412_20260222_223939.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,10→5,42.31698336393403,5.0,gpt-4o-mini,
perm_0233_gpt-4o-mini_T0.3_12mo_202412_20260222_223943.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,10→5,42.23320508328243,5.0,gpt-4o-mini,
perm_0233_gpt-51_T0.3_12mo_202501_20260616_132702.json,True,False,False,False,GPT-5.1,0.3,202501,12,,,,gpt-51,
perm_0233_gpt-51_T0.3_12mo_202501_20260616_132808.json,True,True,True,True,GPT-5.1,0.3,202501,12,30→10,26.083872342381092,10.0,gpt-5.1,
perm_0233_gpt-51_T0.3_12mo_202501_20260616_173118.json,True,False,False,False,GPT-5.1,0.3,202501,12,,,,gpt-51,
perm_0234_gpt-4o-mini_T0.3_12mo_202412_20260222_194511.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,5→3,43.498281732909525,3.0,gpt-4o-mini,
perm_0234_gpt-4o-mini_T0.3_12mo_202412_20260222_223959.json,True,True,True,True,GPT-4o-mini,0.3,202412,12,5→3,48.462084647201976,3.0,gpt-4o-mini,
perm_0234_gpt-51_T0.3_12mo_202501_20260616_132756.json,True,True,True,True,GPT-5.1,0.3,202501,12,30→5,27.579790225093788,5.0,gpt-5.1,
perm_0234_gpt-51_T0.3_12mo_202501_20260616_132827.json,True,True,True,True,GPT-5.1,0.3,202501,12,30→5,34.39120750305377,5.0,gpt-5.1,
