model,config,window,arm,roi,total_tokens,n_holdings
gpt-5.1,20->10,2024-10,A1_single_prompt,39.04689236448836,38927,10
gpt-5.1,20->10,2024-10,A2_sequential_cut,37.01659103311726,25215,10
gpt-5.1,20->10,2024-10,A3_sequential_nocut,38.167509378308054,25027,10
gpt-5.1,20->10,2024-10,A4_reports_scrambled,46.3538274058191,25078,10
gpt-5.1,20->10,2024-11,A1_single_prompt,44.70712092119602,38294,10
gpt-5.1,20->10,2024-11,A2_sequential_cut,46.80556657074332,23926,10
gpt-5.1,20->10,2024-11,A3_sequential_nocut,46.14494764937632,23834,10
gpt-5.1,20->10,2024-11,A4_reports_scrambled,37.75093818711328,23708,10
gpt-5.1,20->10,2024-10,A1_single_pool,42.403500687725824,37415,10
gpt-5.1,20->10,2024-10,A2_sequential_cut,29.09649117330757,24217,10
gpt-5.1,20->10,2024-10,A3_sequential_nocut,31.625428878547208,24352,10
gpt-5.1,20->10,2024-10,A4_reports_scrambled,31.696962185760043,24286,10
gpt-5.1,20->10,2024-10,A5_single_matched,30.731473220446006,34472,10
gpt-5.1,20->10,2024-10,A6_hold_all,27.734186608662874,25060,20
gpt-5.1,20->10,2024-11,A1_single_pool,40.800833090655466,37316,10
gpt-5.1,20->10,2024-11,A2_sequential_cut,36.45649944461351,25271,10
gpt-5.1,20->10,2024-11,A3_sequential_nocut,36.935156052383086,25399,10
gpt-5.1,20->10,2024-11,A4_reports_scrambled,23.70706506224744,25138,10
gpt-5.1,20->10,2024-11,A5_single_matched,36.83724963482142,35269,10
gpt-5.1,20->10,2024-11,A6_hold_all,34.724130788848434,26244,20
gpt-5.1,20->10,2024-12,A1_single_pool,42.05301749726866,37985,10
gpt-5.1,20->10,2024-12,A2_sequential_cut,44.68557682644496,25435,10
gpt-5.1,20->10,2024-12,A3_sequential_nocut,46.08445486363922,25394,10
gpt-5.1,20->10,2024-12,A4_reports_scrambled,30.481109931541432,25324,10
gpt-5.1,20->10,2024-12,A5_single_matched,43.05310465712638,35437,10
gpt-5.1,20->10,2024-12,A6_hold_all,32.59628818442996,26204,21
gpt-5.1,20->10,2025-01,A1_single_pool,42.619793001997714,38303,10
gpt-5.1,20->10,2025-01,A2_sequential_cut,32.68976996661253,24701,10
